crawl_type,business_entity,model,skill,source_url,page_url,page_title,text_sample,status,error_message,level1_url,level2_url,level3_url,supplier_url
全量,供应链,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/article.php?cid=63&leibie=1&nianfen=2024&yuefen=1&time=preyear,产品分类 L1,分类层级 leibie=1,success,,https://www.qcgys.com/article.php?cid=63&leibie=1&nianfen=2024&yuefen=1&time=preyear,,,
全量,供应链,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/article.php?cid=63&leibie=1&nianfen=2024&yuefen=10&months=7&time=thisyear&region=深圳,产品分类 L1,分类层级 leibie=1,success,,https://www.qcgys.com/article.php?cid=63&leibie=1&nianfen=2024&yuefen=10&months=7&time=thisyear&region=深圳,,,
全量,供应链,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/article.php?cid=63&leibie=1&nianfen=2024&yuefen=10&region=郑州,产品分类 L1,分类层级 leibie=1,success,,https://www.qcgys.com/article.php?cid=63&leibie=1&nianfen=2024&yuefen=10&region=郑州,,,
全量,供应链,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/article.php?cid=63&leibie=1&nianfen=2024&yuefen=11&region=广州,产品分类 L1,分类层级 leibie=1,success,,https://www.qcgys.com/article.php?cid=63&leibie=1&nianfen=2024&yuefen=11&region=广州,,,
全量,供应链,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/article.php?cid=63&leibie=1&nianfen=2024&yuefen=11&region=武汉,产品分类 L1,分类层级 leibie=1,success,,https://www.qcgys.com/article.php?cid=63&leibie=1&nianfen=2024&yuefen=11&region=武汉,,,
全量,供应链,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/article.php?cid=63&leibie=1&nianfen=2024&yuefen=11&time=nextyear&region=深圳,产品分类 L1,分类层级 leibie=1,success,,https://www.qcgys.com/article.php?cid=63&leibie=1&nianfen=2024&yuefen=11&time=nextyear&region=深圳,,,
全量,供应链,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/article.php?cid=63&leibie=1&nianfen=2024&yuefen=2&region=武汉,产品分类 L1,分类层级 leibie=1,success,,https://www.qcgys.com/article.php?cid=63&leibie=1&nianfen=2024&yuefen=2&region=武汉,,,
全量,供应链,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/article.php?cid=63&leibie=1&nianfen=2024&yuefen=4&region=郑州,产品分类 L1,分类层级 leibie=1,success,,https://www.qcgys.com/article.php?cid=63&leibie=1&nianfen=2024&yuefen=4&region=郑州,,,
全量,供应链,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/article.php?cid=63&leibie=1&nianfen=2024&yuefen=5&region=郑州,产品分类 L1,分类层级 leibie=1,success,,https://www.qcgys.com/article.php?cid=63&leibie=1&nianfen=2024&yuefen=5&region=郑州,,,
全量,供应链,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/article.php?cid=63&leibie=1&nianfen=2024&yuefen=7&region=北京,产品分类 L1,分类层级 leibie=1,success,,https://www.qcgys.com/article.php?cid=63&leibie=1&nianfen=2024&yuefen=7&region=北京,,,
