node_id,node_name,model,skill,source_url,list_page_url,detail_url,company_name,main_products,fit_export,quality_system,region,contact_action,company_intro,company_type,org_code,established_date,registered_capital,legal_representative,news_summary,status,error_message
,供应商信息来源（选择）,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/category.php?cid=107&pid=226&catid=366,https://www.chinaautosupplier.com/category.php?cid=107&pid=226&catid=366,https://www.chinaautosupplier.com/company.php?mid=80308,日马精密锻压有限公司,汽车减震器配件、安全部品、车载摄像头部品（ADAS）,"我司主要为一汽丰田,广汽丰田,广汽本田,东风本田,东风日产等配套汽车减震部品，为奥特立夫、均胜等企业配套安全带安全部品，为奇瑞、比亚迪、长安等提供ADAS车载摄像头相关部品；","16949系列,ISO9000系列,VDA认证,ISO14000",天津,段立强 职务： 营业 手机： 15902245871 Email： liqiang_duan@hzrima.com 网址： www.rimapf.com 地址： 天津西青区中北工业园南园红霞路3号 企业介绍 MORE > 日,重点产品 配套情况 出口情况 企业证书 公司视频 公司新闻 在线反馈 重点产品 减振器 安全带 摄像头 质量体系 16949系列 ISO9000系列 VDA认证 ISO14000,三资 日马精密锻压有限公司 地址：天津西青区中北工业园南园红霞路3号 技术支持： 圣辉友联,,2003年6月3日 人 数： 42人 企业类型： 三资 日马精密锻压有限公司 地址：天津西青区中北工业园南园红霞,306.122 万元人民币 成立日期： 2003年6月3日 人 数： 42人 企业类型： 三资 日马精密锻压有限公司 地址：天津西青区中北工业园南园红霞,YAMAGUCHI KENJI（山口健儿） 注册资本： 306.122 万元人民,"会展 采购 配套 出口 三资 日马精密锻压有限公司 RIMA Precision Forming CO.,Ltd. 收藏企业 公司简介 重点产品 配套情况 出口情况 企业证书 公司视频 公司新闻 在线反馈 重点产品 减振器 安全带 摄像头 质量体系 16949系列 ISO9000系列 VDA认证 ISO14000 联系人： 段立强 职务： 营业 手机： 15902245871 Email： liqiang_duan@hzrima.co",success,
,供应商信息来源（选择）,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/category.php?cid=107&pid=226&catid=366,https://www.chinaautosupplier.com/category.php?cid=107&pid=226&catid=366,https://www.chinaautosupplier.com/company.php?mid=18698,日立安斯泰莫汽车动力科技（东莞）有限公司,生产、销售、研发：电子控制燃油喷射系统、汽车电子设备系统、燃油泵及以上产品有关软件的开发配套、汽车空调系统的压缩机及其相关零部件、汽车空调系统的空调总成及其相关零部件、新...,主要客户有广汽本田、东风本田、东风本田发动机、本田（中国）、海外KEHIN-M2JAPAN；出口英国、泰国、马来西亚、印尼、印度，并销往中国台湾（电子式节流阀28440台、空调压缩机28115台、CONDENSOR 28145台、前碰传感器1146396台、侧碰传感器297560台、SRS电子控制单元187215台、电子控制单元28337台）,IATF 16949、ISO 9001、ISO 14001,广东,僧伟利 职务： 总经理 电话： 0769-22658160 手机： 0769-22658230 Email： jingbin@keihin-kdg.com 网址： https://www.hitachiastemo.com.cn 地址： 广,重点产品 配套情况 出口情况 企业证书 公司视频 公司新闻 在线反馈 重点产品 摄像头 毫米波雷达 其他车联网相关产品 质量体系 16949系列 ISO9000系列 VDA认证 QS认证 ISO14000,三资 日立安斯泰莫汽车动力科技（东莞）有限公司 地址：广东省东莞市莞城区莞龙路段狮龙路莞城科技园 技术支持： 圣辉友联,,2002-03-01 人 数： 1481 企业类型： 三资 日立安斯泰莫汽车动力科技（东莞）有限公司 地址：广东,9045.60万美元 成立日期： 2002-03-01 人 数： 1481 企业类型： 三资 日立安斯泰莫汽车动力科技（东莞）有限公司 地址：广东省东莞,僧伟利 注册资本： 9045.60万美元 成立日期： 2002-03-01 人,"会展 采购 配套 出口 三资 日立安斯泰莫汽车动力科技（东莞）有限公司 Dongguan Keihin Engine Management System Co.,Ltd. 收藏企业 公司简介 重点产品 配套情况 出口情况 企业证书 公司视频 公司新闻 在线反馈 重点产品 摄像头 毫米波雷达 其他车联网相关产品 质量体系 16949系列 ISO9000系列 VDA认证 QS认证 ISO14000 联系人： 僧伟利 职务： 总经理 电话：",success,
,供应商信息来源（选择）,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/category.php?cid=107&pid=226&catid=366,https://www.chinaautosupplier.com/category.php?cid=107&pid=226&catid=366,https://www.chinaautosupplier.com/company.php?mid=74981,维宁尔（上海）汽车安全系统有限公司,主要做汽车电子安全系统，产品包括自动驾驶传感器（视觉系统、毫米波雷达、激光雷达）、主被动安全产品（约束控制系统、个性化约束控制系统）,三资 供应商 资讯 产品 配套 出口 三资 企业 产品 配套 出口 三资,,上海,主要产品 全部产品 主要做汽车电子安全系统，产品包括自动驾驶传感器（视觉系统、毫米波雷达、激光雷达）、主被动安全产品（约束控制系统、个性化约束控制系统） 企业简介 公司性质： 民营 机构代码： 91310000MAC,新闻发布,民营 机构代码： 91310000MACAAF1Y8A 成立日期： 2023-03-08 注册资本： 10000万美元 法人代表： Eric Reinhold,91310000MACAAF1Y8A,2023-03-08 注册资本： 10000万美元 法人代表： Eric Reinhold Swanson 单位人数：,10000万美元 法人代表： Eric Reinhold Swanson 单位人数： 556 联系方式 法人代表： Eric Reinhold Swanson,Eric Reinhold Swanson 单位人数： 556 联系方式 法人代,会展 采购 配套 出口 三资 供应商 资讯 产品 配套 出口 三资 企业 产品 配套 出口 三资,success,
,供应商信息来源（选择）,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/category.php?cid=107&pid=226&catid=366,https://www.chinaautosupplier.com/category.php?cid=107&pid=226&catid=366,https://www.chinaautosupplier.com/company.php?mid=74985,华为精密制造有限公司,主要做光通信设备、电子元器件（包括激光雷达、毫米波雷达的精密制造），还有智能驾驶和车联网的核心器件模组,三资 供应商 资讯 产品 配套 出口 三资 企业 产品 配套 出口 三资,,广东,主要产品 全部产品 主要做光通信设备、电子元器件（包括激光雷达、毫米波雷达的精密制造），还有智能驾驶和车联网的核心器件模组 企业简介 公司性质： 民营 机构代码： 91440300MA5H635D0A 成立日期： 2,新闻发布,民营 机构代码： 91440300MA5H635D0A 成立日期： 2021-12-28 注册资本： 60000万元 法人代表： 李建国 单位人数： 116 联,91440300MA5H635D0A,2021-12-28 注册资本： 60000万元 法人代表： 李建国 单位人数： 116 联系方式 法人代表： 李建国,60000万元 法人代表： 李建国 单位人数： 116 联系方式 法人代表： 李建国 地址： 深圳市龙华区福城街道九龙山社区景悦路1号18栋101 邮编： 51,李建国 单位人数： 116 联系方式 法人代表： 李建国 地址： 深圳市龙华区福,会展 采购 配套 出口 三资 供应商 资讯 产品 配套 出口 三资 企业 产品 配套 出口 三资,success,
,供应商信息来源（选择）,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/category.php?cid=107&pid=226&catid=366,https://www.chinaautosupplier.com/category.php?cid=107&pid=226&catid=366,https://www.chinaautosupplier.com/company.php?mid=77832,北京雷科防务科技股份有限公司,77GHz毫米波汽车防撞雷达，智能交通产品（智能路侧感知系统、高级辅助驾驶系统ADAS/AEB等）,三资 供应商 资讯 产品 配套 出口 三资 企业 产品 配套 出口 三资,CCC,北京雷科防务科技股份有限公司 北京雷科防务科,主要产品 全部产品 77GHz毫米波汽车防撞雷达，智能交通产品（智能路侧感知系统、高级辅助驾驶系统ADAS/AEB等） 企业简介 公司性质： 股份制 机构代码： 91320400745550891Q 成立日期： 20,新闻发布,股份制 机构代码： 91320400745550891Q 成立日期： 2002-12-11 注册资本： 注册资本131698.9628万元 法人代表： 高立宁,91320400745550891Q,2002-12-11 注册资本： 注册资本131698.9628万元 法人代表： 高立宁 质量体系： CCC 联系方式,注册资本131698.9628万元 法人代表： 高立宁 质量体系： CCC 联系方式 法人代表： 高立宁 地址： 北京市海淀区远大南街6号院鲁迅文创园5号楼3层,高立宁 质量体系： CCC 联系方式 法人代表： 高立宁 地址： 北京市海淀区远,会展 采购 配套 出口 三资 供应商 资讯 产品 配套 出口 三资 企业 产品 配套 出口 三资,success,
,供应商信息来源（选择）,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/category.php?cid=107&pid=226&catid=366,https://www.chinaautosupplier.com/category.php?cid=107&pid=226&catid=366,https://www.chinaautosupplier.com/company.php?mid=67082,上海豫兴电子科技有限公司,"盲区可视电子后视镜（横屏/竖屏），精准预警（超声波雷达、毫米波雷达、视觉AI算法）,智能辅助驾驶解决方案",三资 供应商 资讯 产品 配套 出口 三资 企业 产品 配套 出口 三资,ISO 14001,上海,"主要产品 全部产品 盲区可视电子后视镜（横屏/竖屏），精准预警（超声波雷达、毫米波雷达、视觉AI算法）,智能辅助驾驶解决方案 企业简介 豫兴电子是一个智能辅助驾驭产品生产商，专注基于汽车盲区辅助驾驶产品的研发、制造、",新闻发布,民营 机构代码： 913101126762808231 成立日期： 2008-06-26 注册资本： 注册资本1898.1461万元 法人代表： 付红强 单位人,913101126762808231,2008-06-26 注册资本： 注册资本1898.1461万元 法人代表： 付红强 单位人数： 63 质量体系： IS,注册资本1898.1461万元 法人代表： 付红强 单位人数： 63 质量体系： ISO 14001 联系方式 法人代表： 付红强 地址： 上海市青浦区高光路2,付红强 单位人数： 63 质量体系： ISO 14001 联系方式 法人代表：,会展 采购 配套 出口 三资 供应商 资讯 产品 配套 出口 三资 企业 产品 配套 出口 三资,success,
,供应商信息来源（选择）,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/category.php?cid=107&pid=226&catid=366,https://www.chinaautosupplier.com/category.php?cid=107&pid=226&catid=366,https://www.chinaautosupplier.com/company.php?mid=78347,纵目科技(湖州)有限公司,毫米波雷达、智能驾驶辅助系统（360°环视、自动泊车辅助系统）控制器,三资 供应商 资讯 产品 配套 出口 三资 企业 产品 配套 出口 三资,IATF 16949、ISO 14001、ISO 45001,浙江省湖州市红丰路2195号B幢3～4楼（精英计划产业园） 邮编： 313099 (更多联系方式请) 在线留言 我希望了解贵企业更多信息： 在线反馈 * 联系人 * 联系电话 QQ,主要产品 全部产品 毫米波雷达、智能驾驶辅助系统（360°环视、自动泊车辅助系统）控制器 企业简介 纵目科技成立于2013年，是中国领先的自动驾驶（AD）和高级驾驶辅助系统（ADAS）技术及产品供应商,新闻发布,民营 机构代码： 91330501MA2D165G73 成立日期： 2019-12-25 注册资本： 注册资本5000万元 法人代表： RUI TANG 单位人,91330501MA2D165G73,2019-12-25 注册资本： 注册资本5000万元 法人代表： RUI TANG 单位人数： 78 质量体系： IA,注册资本5000万元 法人代表： RUI TANG 单位人数： 78 质量体系： IATF 16949、ISO 14001、ISO 45001 联系方式 法人代,RUI TANG 单位人数： 78 质量体系： IATF 16949、ISO 1,会展 采购 配套 出口 三资 供应商 资讯 产品 配套 出口 三资 企业 产品 配套 出口 三资,success,
,供应商信息来源（选择）,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/category.php?cid=107&pid=226&catid=366,https://www.chinaautosupplier.com/category.php?cid=107&pid=226&catid=366,https://www.chinaautosupplier.com/company.php?mid=68376,成都知融科技有限公司,为新一代平板阵列天线系统、毫米波通信系统提供高性能的芯片级解决方案，产品包含相控阵BFIC芯片、功率放大器芯片、低噪声放大器芯片等,三资 供应商 资讯 产品 配套 出口 三资 企业 产品 配套 出口 三资,ISO 9001,四川,主要产品 全部产品 为新一代平板阵列天线系统、毫米波通信系统提供高性能的芯片级解决方案，产品包含相控阵BFIC芯片、功率放大器芯片、低噪声放大器芯片等 企业简介 成都知融科技有限公司成立于2019年，是一家专注于毫米,新闻发布,民营 机构代码： 91510100MA6B39AE78 成立日期： 2019-07-19 注册资本： 注册资本2777.7778万元 法人代表： 宋柏 质量体系,91510100MA6B39AE78,2019-07-19 注册资本： 注册资本2777.7778万元 法人代表： 宋柏 质量体系： ISO 9001 联系方,注册资本2777.7778万元 法人代表： 宋柏 质量体系： ISO 9001 联系方式 法人代表： 宋柏 地址： 中国(四川)自由贸易试验区成都高新区和乐二街,宋柏 质量体系： ISO 9001 联系方式 法人代表： 宋柏 地址： 中国(四,会展 采购 配套 出口 三资 供应商 资讯 产品 配套 出口 三资 企业 产品 配套 出口 三资,success,
,供应商信息来源（选择）,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/category.php?cid=107&pid=226&catid=366,https://www.chinaautosupplier.com/category.php?cid=107&pid=226&catid=366,https://www.chinaautosupplier.com/company.php?mid=48920,天健九方技术有限公司,专注于毫米波（包含但不仅限于W波段、E波段和Ka波段）单片微波毫米波集成电路（MMIC）芯片和毫米波多功能芯片设计，毫米波模组、天线和整机系统的设计研发、生产制造，广泛应用于商用...,三资 供应商 资讯 产品 配套 出口 三资 企业 产品 配套 出口 三资,,陕西,主要产品 全部产品 专注于毫米波（包含但不仅限于W波段、E波段和Ka波段）单片微波毫米波集成电路（MMIC）芯片和毫米波多功能芯片设计，毫米波模组、天线和整机系统的设计研发、生产制造，广泛应用于商用航天、5G／6G与卫星通讯、自动驾驶、安防,新闻发布,民营 机构代码： 91610131MA6U59EB65 成立日期： 2017-06-02 注册资本： 注册资本16000万元 法人代表： 樊四虎 注册商标： 天,91610131MA6U59EB65,"2017-06-02 注册资本： 注册资本16000万元 法人代表： 樊四虎 注册商标： 天健九方,ARRALIS 联系","注册资本16000万元 法人代表： 樊四虎 注册商标： 天健九方,ARRALIS 联系方式 法人代表： 樊四虎 地址： 陕西省铜川市新区新材料产业园区创新路光电","樊四虎 注册商标： 天健九方,ARRALIS 联系方式 法人代表： 樊四虎 地址",会展 采购 配套 出口 三资 供应商 资讯 产品 配套 出口 三资 企业 产品 配套 出口 三资,success,
,供应商信息来源（选择）,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/category.php?cid=107&pid=226&catid=366,https://www.chinaautosupplier.com/category.php?cid=107&pid=226&catid=366&page=2,https://www.chinaautosupplier.com/company.php?mid=70170,为升科（上海）科技电子有限公司,4D成像雷达，77GHz转向辅助雷达、近/远程雷达，79GHz车前盲区雷达，盲区及倒车双工雷达，舱内监控雷达,三资 供应商 资讯 产品 配套 出口 三资 企业 产品 配套 出口 三资,IATF 16949,上海,主要产品 全部产品 4D成像雷达，77GHz转向辅助雷达、近/远程雷达，79GHz车前盲区雷达，盲区及倒车双工雷达，舱内监控雷达 企业简介 公司性质： 三资 机构代码： 91310115MA1H8PBH5H 成立日期,新闻发布,三资 机构代码： 91310115MA1H8PBH5H 成立日期： 2017-03-08 注册资本： 注册资本1500万美元 法人代表： 尤山泉 质量体系： I,91310115MA1H8PBH5H,2017-03-08 注册资本： 注册资本1500万美元 法人代表： 尤山泉 质量体系： IATF 16949 联系方式,注册资本1500万美元 法人代表： 尤山泉 质量体系： IATF 16949 联系方式 法人代表： 尤山泉 地址： 上海市浦东新区祝桥镇金闻路51号6幢 邮编：,尤山泉 质量体系： IATF 16949 联系方式 法人代表： 尤山泉 地址：,会展 采购 配套 出口 三资 供应商 资讯 产品 配套 出口 三资 企业 产品 配套 出口 三资,success,
