node_id,node_name,model,skill,source_url,list_page_url,detail_url,company_name,main_products,fit_export,quality_system,region,contact_action,company_intro,company_type,org_code,established_date,registered_capital,employees_count,legal_representative,news_summary,status,error_message
1657,电池回收,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/category.php?cid=107&pid=212&catid=376,https://www.qcgys.com/company.php?mid=50722,宁德时代新能源科技股份有限公司,动力电池、智能电池管理系统（BMS）、储能电池，电池回收,配套威马、蔚来、北汽新能源、北汽集团、广汽、福田欧辉、上汽通用五菱、上汽宝骏、上汽名爵、上汽乘用车、上汽荣威、吉利汽车、长安、长城、东风、东风商用车、中通客车、宇通客车、厦门金旅、厦门金龙、苏州金龙、申沃客车、一汽、一汽-大众、一汽轿车、海马、中车时代、广通汽车、宝马、上汽大众、奥迪、起亚、戴姆勒、特斯拉、北京现代、小鹏、广汽埃安、零跑汽车、问界、智界、小米、智己、深蓝、飞凡、极氪、岚图、吉利银河等；宁德时代“出海”，加快了全球布局，更好满足海外客户需求、降低物流成本。 公司在美国、德国、法国、日本先后成立了多个研发中心和生产基地2012年，公司成为华晨宝马首款EV“之诺1E”的动力电池供应商，打响了进军国际市场的第一枪，2018年获得宝马集团、戴姆勒、现代起亚等多家海外主机厂的定点信，境外业务取得实质性进展，2020年公司与特斯拉签署动力电池框架协议，2021年特斯拉超越蔚来成为公司第一大客户，而公司也正式取代LGES，成为特斯拉第一大动力电池供应商。2021年12月，福特汽车对外确认宁德时代已成为福特汽车动力电池供应商,ISO 45001、ISO 27001、ISO 50001、IATF 16949、ISO 9001、高新技术企业,福建,0593-2583668 Email： chenyl2@catlbattery.com,重点产品 配套情况 出口情况 企业证书 公司视频,股份制 宁德时代新能源科技股份有限公司,,2011-12-16 人 数： 36822,注册资本440339.4911万元,,曾毓群,"会展 采购 配套 出口 三资 宁德时代新能源科技股份有限公司 Ningde Times New Energy Technology Co., Ltd 收藏企业 公司简介 重点产品 配套情况 出口情况 企业证书 公司视频 公司新闻 在线反馈 重点产品 动力电池 质量体系 16949系列 ISO9000系列 ISO14000 OHSAS18001 电话： 0593-2583668 Email： chenyl2@catlbattery.co",success,
1657,电池回收,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/category.php?cid=107&pid=212&catid=376,https://www.qcgys.com/company.php?mid=49154,江西睿达新能源科技有限公司,电池级硫酸钴、硫酸镍、碳酸锂、硫酸锰；废旧锂电池回收利用生产电池级金属盐,三资 供应商 资讯 产品 配套 出口 三资 企业 产品 配套 出口 三资 ；废旧锂电池回收利用生产电池级金属盐,IATF 16949、ISO 14001、ISO 9001、ISO 45001、高新技术企业,江西,法人代表： 李森,公司性质： 民营,民营,913609223091852269,2014-10-20,注册资本20000万元,581,李森,会展 采购 配套 出口 三资 供应商 资讯 产品 配套 出口 三资 企业 产品 配套 出口 三资 ；废旧锂电池回收利用生产电池级金属盐 企业简介,success,
1657,电池回收,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/category.php?cid=107&pid=212&catid=376,https://www.qcgys.com/company.php?mid=77320,河北中化锂电科技有限公司,专注于锂离子动力蓄电池绿色拆解及回收技术研发与产业化,三资 供应商 资讯 产品 配套 出口 三资 企业 产品 配套 出口 三资 人代表： 赵彩军,ISO 9001、ISO 14001,河北中化锂电科技有限公司 河北中化锂电科技有,法人代表： 赵彩军,新闻发布,,,,,,赵彩军,会展 采购 配套 出口 三资 供应商 资讯 产品 配套 出口 三资 企业 产品 配套 出口 三资,success,
1657,电池回收,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/category.php?cid=107&pid=212&catid=376,https://www.qcgys.com/company.php?mid=47881,天力锂能集团股份有限公司,锂电池三元正极材料、磷酸铁锂、磷酸锰铁锂，储能电源，锂电池回收,三资 供应商 资讯 产品 配套 出口 三资 企业 产品 配套 出口 三资 人代表： 王瑞庆,ISO 45001、IATF 16949、高新技术企业,河南,法人代表： 王瑞庆,新闻发布,,,,,348,王瑞庆,会展 采购 配套 出口 三资 供应商 资讯 产品 配套 出口 三资 企业 产品 配套 出口 三资,success,
1657,电池回收,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/category.php?cid=107&pid=212&catid=376,https://www.qcgys.com/company.php?mid=50700,江西赣锋锂电科技股份有限公司,固态锂电池、动力电池、储能系统、消费类电池、电池管理系统、电池回收,三资 供应商 资讯 产品 配套 出口 三资 企业 产品 配套 出口 三资 资本250890.8万元,ISO 14001、ISO 45001、IATF 16949、ISO 9001、高新技术企业,江西,法人代表： 戈志敏,新闻发布,,,,,2020,戈志敏,会展 采购 配套 出口 三资 供应商 资讯 产品 配套 出口 三资 企业 产品 配套 出口 三资,success,
1657,电池回收,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/category.php?cid=107&pid=212&catid=376,https://www.qcgys.com/company.php?mid=70416,安徽恒创睿能环保科技集团有限公司,锂电池回收利用，电池材料（正极粉末、负极粉末、铜粉、铝粉、隔膜、外壳、硫酸钴、硫酸镍、碳酸锂、硫酸锰）,三资 供应商 资讯 产品 配套 出口 三资 企业 产品 配套 出口 三资 0300MA5EC6KM87,,广东,法人代表： 陈志鹏,新闻发布,,,2017-02-06,注册资本6731.4417万元,,陈志鹏,会展 采购 配套 出口 三资 供应商 资讯 产品 配套 出口 三资 企业 产品 配套 出口 三资,success,
1657,电池回收,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/category.php?cid=107&pid=212&catid=376,https://www.qcgys.com/company.php?mid=77592,格林美(无锡)能源材料有限公司,废旧电池回收与动力电池材料再制造,三资 供应商 资讯 产品 配套 出口 三资 企业 产品 配套 出口 三资 39,ISO 14001、IATF 16949、ISO 50001,江苏省无锡市新吴区新东安路50号,法人代表： 娄会友,新闻发布,,,,,,娄会友,会展 采购 配套 出口 三资 供应商 资讯 产品 配套 出口 三资 企业 产品 配套 出口 三资,success,
1657,电池回收,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/category.php?cid=107&pid=212&catid=376,https://www.qcgys.com/company.php?mid=48664,广东邦普循环科技有限公司,电动汽车用动力电池回收处理、梯度储能利用；传统报废汽车回收拆解、关键零部件再制造；高端电池材料和汽车功能瓶颈材料(前驱体、正极材料、化工盐),三资 供应商 资讯 产品 配套 出口 三资 企业 产品 配套 出口 三资 ；传统报废汽车回收拆解、关键零部件再制造；高端电池材料和汽车功能瓶颈材料(前驱体、正极材料、化工盐),ISO 28000、ISO 50001、ISO 27001、ISO 14001、ISO 45001、IATF 16949、高新技术企业,广东,法人代表： 李长东,公司性质： 民营,民营,91440600782992365C,2005-12-07,注册资本14747.326875万元,2469,李长东,会展 采购 配套 出口 三资 供应商 资讯 产品 配套 出口 三资 企业 产品 配套 出口 三资 ；传统报废汽车回收拆解、关键零部件再制造；,success,
1657,电池回收,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/category.php?cid=107&pid=212&catid=376,https://www.qcgys.com/company.php?mid=47648,中际山河科技有限责任公司,动力电池回收装备系统、智能化物料运送系统、智能化物料运送系统等,三资 供应商 资讯 产品 配套 出口 三资 企业 产品 配套 出口 三资 数： 118,ISO 9001、高新技术企业,湖南,法人代表： 夏志宏,新闻发布,,,,,,夏志宏,会展 采购 配套 出口 三资 供应商 资讯 产品 配套 出口 三资 企业 产品 配套 出口 三资,success,
1657,电池回收,gpt-5.4,Playwright（浏览器自动化）,https://www.chinaautosupplier.com/,https://www.qcgys.com/category.php?cid=107&pid=212&catid=376,https://www.qcgys.com/company.php?mid=77602,甘肃睿思科新材料有限公司,"电池材料循环生产,将报废电池中锂、镍、钴、锰、铝回收再利用,再造电池材料(三元前驱体、碳酸锂)",三资 供应商 资讯 产品 配套 出口 三资 企业 产品 配套 出口 三资 民币,ISO 9001、ISO 45001,甘肃睿思科新材料有限公司 甘肃睿思科新材料有,法人代表： 陈世鹏,新闻发布,,,,,661,陈世鹏,会展 采购 配套 出口 三资 供应商 资讯 产品 配套 出口 三资 企业 产品 配套 出口 三资,success,
