2026-05-05 16:41:20.971 | WARNING  | chatchat.server.utils:detect_xf_models:105 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2026-05-05 16:41:20.971 | WARNING  | chatchat.server.utils:get_default_llm:206 - default llm model glm4-chat is not found in available llms, using qwen:7b instead
2026-05-05 16:41:20.971 | WARNING  | chatchat.server.utils:get_default_llm:206 - default llm model glm4-chat is not found in available llms, using qwen:7b instead
2026-05-05 16:41:21.000 | WARNING  | chatchat.server.utils:get_default_embedding:216 - default embedding model bge-m3 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2026-05-05 16:41:21.001 | WARNING  | chatchat.server.utils:get_default_embedding:216 - default embedding model bge-m3 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2026-05-05 16:41:21.003 | WARNING  | chatchat.server.utils:get_default_embedding:216 - default embedding model bge-m3 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2026-05-05 16:41:21.005 | WARNING  | chatchat.server.utils:get_default_embedding:216 - default embedding model bge-m3 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2026-05-05 16:41:33.237 | WARNING  | chatchat.server.utils:detect_xf_models:105 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2026-05-05 16:41:33.238 | WARNING  | chatchat.server.utils:get_default_llm:206 - default llm model glm4-chat is not found in available llms, using qwen:7b instead
2026-05-05 16:41:33.238 | WARNING  | chatchat.server.utils:get_default_llm:206 - default llm model glm4-chat is not found in available llms, using qwen:7b instead
2026-05-05 16:41:33.254 | WARNING  | chatchat.server.utils:get_default_embedding:216 - default embedding model bge-m3 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2026-05-05 16:41:33.256 | WARNING  | chatchat.server.utils:get_default_embedding:216 - default embedding model bge-m3 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2026-05-05 16:41:33.257 | WARNING  | chatchat.server.utils:get_default_embedding:216 - default embedding model bge-m3 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2026-05-05 16:41:33.258 | WARNING  | chatchat.server.utils:get_default_embedding:216 - default embedding model bge-m3 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2026-05-05 16:41:33.262 | SUCCESS  | chatchat.cli:init:47 - 开始初始化项目数据目录：E:\workspaceCodeing
2026-05-05 16:41:33.264 | SUCCESS  | chatchat.cli:init:49 - 创建所有数据目录：成功。
2026-05-05 16:41:33.274 | SUCCESS  | chatchat.cli:init:52 - 复制 samples 知识库文件：成功。
2026-05-05 16:41:33.302 | SUCCESS  | chatchat.cli:init:54 - 初始化知识库数据库：成功。
2026-05-05 16:41:33.517 | SUCCESS  | chatchat.cli:init:66 - 生成默认配置文件：成功。
2026-05-05 16:41:33.517 | SUCCESS  | chatchat.cli:init:67 - 请先检查确认 model_settings.yaml 里模型平台、LLM模型和Embed模型信息已经正确
2026-05-05 16:41:33.517 | SUCCESS  | chatchat.cli:init:76 - 执行 chatchat kb -r 初始化知识库，然后 chatchat start -a 启动服务。
2026-05-05 16:42:41.178 | WARNING  | chatchat.server.utils:detect_xf_models:105 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2026-05-05 16:42:41.215 | WARNING  | chatchat.server.utils:get_default_llm:206 - default llm model glm4-chat is not found in available llms, using qwen:7b instead
2026-05-05 16:42:41.216 | WARNING  | chatchat.server.utils:get_default_llm:206 - default llm model glm4-chat is not found in available llms, using qwen:7b instead
2026-05-05 16:42:41.246 | WARNING  | chatchat.server.utils:get_default_embedding:216 - default embedding model bge-m3 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2026-05-05 16:42:41.258 | WARNING  | chatchat.server.utils:get_default_embedding:216 - default embedding model bge-m3 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2026-05-05 16:42:41.269 | WARNING  | chatchat.server.utils:get_default_embedding:216 - default embedding model bge-m3 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2026-05-05 16:42:41.281 | WARNING  | chatchat.server.utils:get_default_embedding:216 - default embedding model bge-m3 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2026-05-05 16:42:44.593 | WARNING  | chatchat.server.utils:detect_xf_models:105 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2026-05-05 16:42:44.629 | WARNING  | chatchat.server.utils:get_default_llm:206 - default llm model glm4-chat is not found in available llms, using qwen:7b instead
2026-05-05 16:42:44.630 | WARNING  | chatchat.server.utils:get_default_llm:206 - default llm model glm4-chat is not found in available llms, using qwen:7b instead
2026-05-05 16:42:44.660 | WARNING  | chatchat.server.utils:get_default_embedding:216 - default embedding model bge-m3 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2026-05-05 16:42:44.672 | WARNING  | chatchat.server.utils:get_default_embedding:216 - default embedding model bge-m3 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2026-05-05 16:42:44.683 | WARNING  | chatchat.server.utils:get_default_embedding:216 - default embedding model bge-m3 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2026-05-05 16:42:44.696 | WARNING  | chatchat.server.utils:get_default_embedding:216 - default embedding model bge-m3 is not found in available embeddings, using quentinz/bge-large-zh-v1.5 instead
2026-05-05 16:42:44.723 | INFO     | chatchat.startup:start_main_server:256 - 正在启动服务：
2026-05-05 16:42:44.726 | INFO     | chatchat.startup:start_main_server:257 - 如需查看 llm_api 日志，请前往 E:\workspaceCodeing\data\logs
2026-05-05 16:42:47.859 | WARNING  | chatchat.server.utils:detect_xf_models:105 - auto_detect_model needs xinference-client installed. Please try "pip install xinference-client". 
2026-05-05 16:42:47.861 | WARNING  | chatchat.server.utils:get_default_llm:206 - default llm model glm4-chat is not found in available llms, using qwen:7b instead
